"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","THIS WEEK CRANE SPLIT BALANCE","","","","OBJECTIVES ","","SCORE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","NUMBER OF STOWAGES SENT","","","=COUNT(R9:R999)","","","","","","","","","","","YTD - Year to date
CRANE SPLIT AVG DEVIATION","","","","","","","","","=AJ6","","","","","","=F3","","","","","","","PLS INSERT COMMENT","","1-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","STOWAGES SENT ON TIME","","=(COUNT(R9:R999)-SUM(Q8:Q999))/G3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BAD","0.15","0.1","EVEN","CAN YOU IMPROVE IT?","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","REVISED COPRAR","","","=COUNT(K9:K340)","","","","","","","","","","","","","","","","","","","","","","","","","","MOVES","","","=SUM(AJ9:AJ999)","=SUM(AK9:AK999)","=SUM(AL9:AL999)","=SUM(AM9:AM999)","GOOD JOB & HOW GET BETTER?","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(AG9:AG999)","","=AVERAGE(AI9:AI999)","=AJ5/$G$3","=AK5/$G$3","=AL5/$G$3","=AM5/$G$3","EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","CRANE SPLIT
SHIP'S CRANE                                    SHORE CRANE           .               ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRODUCTIVITY","SHIP'S CRANE","","","","PRODUCTIVITY","SHORE CRANE","","","","","","WORK HOURS","DEVIATION","DEVIATION","TOT DEVIATION","Long Gang","Short Gang","Time Short Long Gang"
"","WEEK","COOR","ETA","VESSEL","VOYAGE","SERVICE","PORT","Bunker at Arrival","Bunker Purchased","REVISED COPRAR","REVISED STOWAGE","NUMBER OF COPRAR OVER WITHOUT ""OPT"" RMRK","NUMBER OF PRE-STOWS","NUMBER OF UNITS ROLLED","NUMBER OF LATE ADDITIONS","STOWAGE
""NOT""
SENT ON TIME","GANGS","1","2","3","4","Vessel CRANE DENSITY","1","2","3","4","5","6","Half Gang Calc","Half Gang","Shore CRANE DENSITY ","TOTAL MOVES","CARGO TIME DEVIATION Ship & Shore","CRANE MOVES DEVIATION","ABOVE 
15%","0.15","0.1","5% OR LESS","UNBALANCED","Hours from Short Gang to Long Gang","COMMENTS","Ship & Shore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","total moves","","1","2","3","4","","1","2","3","4","5","6","","","","","","",""
"","17","AVI069","41023","84Q CORONA J","1218","U2D CARRIBEAN FDR ","SJU","301","0","","","","","","","","2","","","","","=IFERROR((STDEV(S9:V9)/100),""0"")","234","240","","","","","=IF(AE9>0, AE9*2,"""")","","=IFERROR((STDEV(X9:AD9)/100),""0"")","=SUM(S9:V9)+SUM(X9:AC9)+AE9","=IF(DF9=2,DZ9,""0"")","=IF(DF9=2,""S&S"",IF(DG9=1,W9,IF(DH9=1,AF9,""0"")))","=IF(AI9=""0"","""",IF(AI9>15%,1,0))","=IF(AI9=""0"","""",IF(AJ9=1,0,IF(AI9>10%,1,0)))","=IF(AI9=""0"","""",IF(AJ9=1,0,IF(AK9=1,0,IF(AI9>5%,1,0))))","=IF(AI9=""0"","""",IF(AJ9=1,0,IF(AK9=1,0,IF(AL9=1,0,IF(AI9>=0%,1,0)))))","=IF(AG9=0,"""",IF(AQ9=2,""SHIP & SHORE CRANE"",IF(AJ9=1,""PLS INSERT COMMENT"",IF(AK9=1,""CAN YOU IMPROVE IT?"",IF(AL9=1,""GOOD JOB & HOW GET BETTER?"",IF(AM9=1,""EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES"",""SINGLE CRANE""))))))","=IFERROR(EC9,"""")","","=DF9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(DG9:DH9)","=IF(SUM(S9:V9)<1,"""",1)","=IF(SUM(X9:AC9)<1,"""",1)","","=AG9","=VLOOKUP(H9,'PORT PRODUCTIVITY 1'!$A$25:$G$83,2,FALSE)","=IF(S9=0,"""",(X9/$DK9))","=IF(T9=0,"""",(Y9/$DK9))","=IF(U9=0,"""",(Z9/$DK9))","=IF(V9=0,"""",(AA9/$DK9))","=VLOOKUP(H9,'PORT PRODUCTIVITY 1'!$A$25:$G$83,3,FALSE)","=IF(X9=0,"""",(X9/$DP9))","=IF(Y9=0,"""",(Y9/$DP9))","=IF(Z9=0,"""",(Z9/$DP9))","=IF(AA9=0,"""",(AA9/$DP9))","=IF(AB9=0,"""",(AB9/$DP9))","=IF(AC9=0,"""",(AC9/$DP9))","=IFERROR(AVERAGE(DQ9:DV9,DL9:DO9),"""")","=IFERROR(STDEV(DL9:DO9)/10,""0"")","=IFERROR(STDEV(DQ9:DV9)/10,""0"")","=IFERROR((STDEV(DL9:DO9,DQ9:DV9)/10),"""")","=MAX(DL9:DO9,DQ9:DV9)","=MIN(DL9:DO9,DQ9:DV9)","=EA9-EB9"
"","17","AVI069","41023","63A MAERSK WOLFSBURG","1209","85A EXPRESSO ","Y8S","1034","0","","","","","","","","3","","","","","=IFERROR((STDEV(S10:V10)/100),""0"")","300","322","312","","","","=IF(AE10>0, AE10*2,"""")","","=IFERROR((STDEV(X10:AD10)/100),""0"")","=SUM(S10:V10)+SUM(X10:AC10)+AE10","=IF(DF10=2,DZ10,""0"")","=IF(DF10=2,""S&S"",IF(DG10=1,W10,IF(DH10=1,AF10,""0"")))","=IF(AI10=""0"","""",IF(AI10>15%,1,0))","=IF(AI10=""0"","""",IF(AJ10=1,0,IF(AI10>10%,1,0)))","=IF(AI10=""0"","""",IF(AJ10=1,0,IF(AK10=1,0,IF(AI10>5%,1,0))))","=IF(AI10=""0"","""",IF(AJ10=1,0,IF(AK10=1,0,IF(AL10=1,0,IF(AI10>=0%,1,0)))))","=IF(AG10=0,"""",IF(AQ10=2,""SHIP & SHORE CRANE"",IF(AJ10=1,""PLS INSERT COMMENT"",IF(AK10=1,""CAN YOU IMPROVE IT?"",IF(AL10=1,""GOOD JOB & HOW GET BETTER?"",IF(AM10=1,""EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES"",""SINGLE CRANE""))))))","=IFERROR(EC10,"""")","","=DF10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(DG10:DH10)","=IF(SUM(S10:V10)<1,"""",1)","=IF(SUM(X10:AC10)<1,"""",1)","","=AG10","=VLOOKUP(H10,'PORT PRODUCTIVITY 1'!$A$25:$G$83,2,FALSE)","=IF(S10=0,"""",(X10/$DK10))","=IF(T10=0,"""",(Y10/$DK10))","=IF(U10=0,"""",(Z10/$DK10))","=IF(V10=0,"""",(AA10/$DK10))","=VLOOKUP(H10,'PORT PRODUCTIVITY 1'!$A$25:$G$83,3,FALSE)","=IF(X10=0,"""",(X10/$DP10))","=IF(Y10=0,"""",(Y10/$DP10))","=IF(Z10=0,"""",(Z10/$DP10))","=IF(AA10=0,"""",(AA10/$DP10))","=IF(AB10=0,"""",(AB10/$DP10))","=IF(AC10=0,"""",(AC10/$DP10))","=IFERROR(AVERAGE(DQ10:DV10,DL10:DO10),"""")","=IFERROR(STDEV(DL10:DO10)/10,""0"")","=IFERROR(STDEV(DQ10:DV10)/10,""0"")","=IFERROR((STDEV(DL10:DO10,DQ10:DV10)/10),"""")","=MAX(DL10:DO10,DQ10:DV10)","=MIN(DL10:DO10,DQ10:DV10)","=EA10-EB10"
"","17","AVI069","41022","88R RICKMER RICKMERS","1216","U2G COLUMBUS FDR ","PJC","499","0","","","","","","","","2","","","","","=IFERROR((STDEV(S11:V11)/100),""0"")","303","314","","","","","=IF(AE11>0, AE11*2,"""")","","=IFERROR((STDEV(X11:AD11)/100),""0"")","=SUM(S11:V11)+SUM(X11:AC11)+AE11","=IF(DF11=2,DZ11,""0"")","=IF(DF11=2,""S&S"",IF(DG11=1,W11,IF(DH11=1,AF11,""0"")))","=IF(AI11=""0"","""",IF(AI11>15%,1,0))","=IF(AI11=""0"","""",IF(AJ11=1,0,IF(AI11>10%,1,0)))","=IF(AI11=""0"","""",IF(AJ11=1,0,IF(AK11=1,0,IF(AI11>5%,1,0))))","=IF(AI11=""0"","""",IF(AJ11=1,0,IF(AK11=1,0,IF(AL11=1,0,IF(AI11>=0%,1,0)))))","=IF(AG11=0,"""",IF(AQ11=2,""SHIP & SHORE CRANE"",IF(AJ11=1,""PLS INSERT COMMENT"",IF(AK11=1,""CAN YOU IMPROVE IT?"",IF(AL11=1,""GOOD JOB & HOW GET BETTER?"",IF(AM11=1,""EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES"",""SINGLE CRANE""))))))","=IFERROR(EC11,"""")","","=DF11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(DG11:DH11)","=IF(SUM(S11:V11)<1,"""",1)","=IF(SUM(X11:AC11)<1,"""",1)","","=AG11","=VLOOKUP(H11,'PORT PRODUCTIVITY 1'!$A$25:$G$83,2,FALSE)","=IF(S11=0,"""",(X11/$DK11))","=IF(T11=0,"""",(Y11/$DK11))","=IF(U11=0,"""",(Z11/$DK11))","=IF(V11=0,"""",(AA11/$DK11))","=VLOOKUP(H11,'PORT PRODUCTIVITY 1'!$A$25:$G$83,3,FALSE)","=IF(X11=0,"""",(X11/$DP11))","=IF(Y11=0,"""",(Y11/$DP11))","=IF(Z11=0,"""",(Z11/$DP11))","=IF(AA11=0,"""",(AA11/$DP11))","=IF(AB11=0,"""",(AB11/$DP11))","=IF(AC11=0,"""",(AC11/$DP11))","=IFERROR(AVERAGE(DQ11:DV11,DL11:DO11),"""")","=IFERROR(STDEV(DL11:DO11)/10,""0"")","=IFERROR(STDEV(DQ11:DV11)/10,""0"")","=IFERROR((STDEV(DL11:DO11,DQ11:DV11)/10),"""")","=MAX(DL11:DO11,DQ11:DV11)","=MIN(DL11:DO11,DQ11:DV11)","=EA11-EB11"
